gameID,officialName,officialType
2010020001,Paul Devorski,Referee
2010020001,Gord Dwyer,Referee
2010020001,Greg Devorski,Linesman
2010020001,Mark Shewchyk,Linesman
2010020002,Stephen Walkom,Referee
2010020002,Francois StLaurent,Referee
2010020002,Derek Amell,Linesman
2010020002,Steve Miller,Linesman
2010020003,Tim Peel,Referee
2010020003,Rob Martell,Referee
2010020003,Brian Mach,Linesman
2010020003,Andy McElman,Linesman
2010020004,Brian Pochmara,Referee
2010020004,Chris Lee,Referee
2010020004,Bryan Pancich,Linesman
2010020004,Jonny Murray,Linesman
2010020005,Kelly Sutherland,Referee
2010020005,Ian Walsh,Referee
2010020005,Darren Gibbs,Linesman
2010020005,Mike Cvik,Linesman
2010020006,Stephane Auger,Referee
2010020006,Eric Furlatt,Referee
2010020006,Dan Schachte,Linesman
2010020006,Vaughan Rody,Linesman
2010020007,Don VanMassenhoven,Referee
2010020007,Marc Joannette,Referee
2010020007,Steve Barton,Linesman
2010020007,Michel Cormier,Linesman
2010020008,Tim Peel,Referee
2010020008,Rob Martell,Referee
2010020008,Brian Mach,Linesman
2010020008,Andy McElman,Linesman
2010020009,Stephen Walkom,Referee
2010020009,Kyle Rehman,Referee
2010020009,Scott Driscoll,Linesman
2010020009,Brian Murphy,Linesman
2010020010,Dan O'Halloran,Referee
2010020010,Frederick L'Ecuyer,Referee
2010020010,Pierre Champoux,Linesman
2010020010,Mark Shewchyk,Linesman
2010020011,Wes McCauley,Referee
2010020011,Chris Rooney,Referee
2010020011,Ryan Galloway,Linesman
2010020011,David Brisebois,Linesman
2010020012,Mike Leggo,Referee
2010020012,Brad Meier,Referee
2010020012,Jay Sharrers,Linesman
2010020012,Don Henderson,Linesman
2010020013,Greg Kimmerly,Referee
2010020013,Kevin Pollock,Referee
2010020013,Greg Devorski,Linesman
2010020013,Derek Amell,Linesman
2010020014,Bill McCreary,Referee
2010020014,Justin StPierre,Referee
2010020014,Scott Driscoll,Linesman
2010020014,Steve Miller,Linesman
2010020015,Dan O'Rourke,Referee
2010020015,Frederick L'Ecuyer,Referee
2010020015,Michel Cormier,Linesman
2010020015,Tony Sericolo,Linesman
2010020016,Dennis LaRue,Referee
2010020016,Kyle Rehman,Referee
2010020016,Scott Cherrey,Linesman
2010020016,Brad Kovachik,Linesman
2010020017,Dan O'Halloran,Referee
2010020017,Dean Morton,Referee
2010020017,Steve Barton,Linesman
2010020017,Derek Nansen,Linesman
2010020018,Chris Rooney,Referee
2010020018,Francois StLaurent,Referee
2010020018,Pierre Racicot,Linesman
2010020018,Jonny Murray,Linesman
2010020019,Brian Pochmara,Referee
2010020019,Chris Lee,Referee
2010020019,Shane Heyer,Linesman
2010020019,Bryan Pancich,Linesman
2010020020,Wes McCauley,Referee
2010020020,Dave Jackson,Referee
2010020020,Ryan Galloway,Linesman
2010020020,David Brisebois,Linesman
2010020021,Paul Devorski,Referee
2010020021,Gord Dwyer,Referee
2010020021,Tim Nowak,Linesman
2010020021,Brian Murphy,Linesman
2010020022,Stephane Auger,Referee
2010020022,Eric Furlatt,Referee
2010020022,Dan Schachte,Linesman
2010020022,Vaughan Rody,Linesman
2010020023,Kelly Sutherland,Referee
2010020023,Ian Walsh,Referee
2010020023,Lonnie Cameron,Linesman
2010020023,Brad Lazarowich,Linesman
2010020024,Mike Leggo,Referee
2010020024,Brad Meier,Referee
2010020024,Jay Sharrers,Linesman
2010020024,Don Henderson,Linesman
2010020025,Kelly Sutherland,Referee
2010020025,Tom Kowal,Referee
2010020025,Mark Wheler,Linesman
2010020025,Mike Cvik,Linesman
2010020026,Brad Watson,Referee
2010020026,Ian Walsh,Referee
2010020026,Darren Gibbs,Linesman
2010020026,Thor Nelson,Linesman
2010020027,Chris Rooney,Referee
2010020027,Chris Ciamaga,Referee
2010020027,Derek Nansen,Linesman
2010020027,Jonny Murray,Linesman
2010020028,Dan O'Halloran,Referee
2010020028,Gord Dwyer,Referee
2010020028,Tim Nowak,Linesman
2010020028,Brian Murphy,Linesman
2010020029,Dave Jackson,Referee
2010020029,Francois StLaurent,Referee
2010020029,Shane Heyer,Linesman
2010020029,Bryan Pancich,Linesman
2010020030,Bill McCreary,Referee
2010020030,Kyle Rehman,Referee
2010020030,Scott Cherrey,Linesman
2010020030,Brad Kovachik,Linesman
2010020031,Chris Lee,Referee
2010020031,Steve Kozari,Referee
2010020031,Derek Amell,Linesman
2010020031,Ryan Galloway,Linesman
2010020032,Dan O'Rourke,Referee
2010020032,Dennis LaRue,Referee
2010020032,Pierre Racicot,Linesman
2010020032,Tony Sericolo,Linesman
2010020033,Brad Watson,Referee
2010020033,Ian Walsh,Referee
2010020033,Darren Gibbs,Linesman
2010020033,Mike Cvik,Linesman
2010020034,Bill McCreary,Referee
2010020034,Kyle Rehman,Referee
2010020034,Scott Cherrey,Linesman
2010020034,Greg Devorski,Linesman
2010020035,Justin StPierre,Referee
2010020035,Stephen Walkom,Referee
2010020035,Mark Wheler,Linesman
2010020035,Brad Lazarowich,Linesman
2010020036,Dave Jackson,Referee
2010020036,Dean Morton,Referee
2010020036,Pierre Racicot,Linesman
2010020036,David Brisebois,Linesman
2010020037,Greg Kimmerly,Referee
2010020037,Kevin Pollock,Referee
2010020037,Pierre Champoux,Linesman
2010020037,Mark Shewchyk,Linesman
2010020038,Don VanMassenhoven,Referee
2010020038,Steve Kozari,Referee
2010020038,Derek Nansen,Linesman
2010020038,Tony Sericolo,Linesman
2010020039,Dan O'Rourke,Referee
2010020039,Tom Kowal,Referee
2010020039,Scott Driscoll,Linesman
2010020039,Brad Kovachik,Linesman
2010020040,Dennis LaRue,Referee
2010020040,Marc Joannette,Referee
2010020040,Shane Heyer,Linesman
2010020040,Bryan Pancich,Linesman
2010020041,Justin StPierre,Referee
2010020041,Stephen Walkom,Referee
2010020041,Mark Wheler,Linesman
