gameID,season,dateTime,gameType,homeTeamID,homeTeamName,awayTeamID,awayTeamName,homeGoals,awayGoals,homeTeamWin,venue
2010020001,20102011,2010-10-07T23:00:00Z,R,10,Toronto Maple Leafs,8,Montréal Canadiens,3,2,TRUE,Air Canada Centre
2010020002,20102011,2010-10-07T23:00:00Z,R,5,Pittsburgh Penguins,4,Philadelphia Flyers,2,3,FALSE,CONSOL Energy Center
2010020003,20102011,2010-10-07T16:00:00Z,R,30,Minnesota Wild,12,Carolina Hurricanes,3,4,FALSE,Hartwall Areena
2010020004,20102011,2010-10-08T02:00:00Z,R,21,Colorado Avalanche,16,Chicago Blackhawks,4,3,TRUE,Pepsi Center
2010020005,20102011,2010-10-08T02:00:00Z,R,22,Edmonton Oilers,20,Calgary Flames,4,0,TRUE,Rexall Place
2010020006,20102011,2010-10-08T19:00:00Z,R,29,Columbus Blue Jackets,28,San Jose Sharks,2,3,FALSE,Ericsson Globe
2010020007,20102011,2010-10-08T23:00:00Z,R,1,New Jersey Devils,25,Dallas Stars,3,4,FALSE,Prudential Center
2010020008,20102011,2010-10-08T16:00:00Z,R,12,Carolina Hurricanes,30,Minnesota Wild,2,1,TRUE,Hartwall Areena
2010020009,20102011,2010-10-08T23:30:00Z,R,17,Detroit Red Wings,24,Anaheim Ducks,4,0,TRUE,Joe Louis Arena
2010020010,20102011,2010-10-08T23:30:00Z,R,9,Ottawa Senators,7,Buffalo Sabres,1,2,FALSE,Scotiabank Place
2010020011,20102011,2010-10-08T23:30:00Z,R,11,Atlanta Thrashers,15,Washington Capitals,4,2,TRUE,Philips Arena
2010020012,20102011,2010-10-09T16:00:00Z,R,6,Boston Bruins,27,Phoenix Coyotes,2,5,FALSE,O2 Czech Republic
2010020013,20102011,2010-10-09T23:00:00Z,R,7,Buffalo Sabres,3,New York Rangers,3,6,FALSE,HSBC Arena
2010020014,20102011,2010-10-09T23:00:00Z,R,10,Toronto Maple Leafs,9,Ottawa Senators,5,1,TRUE,Air Canada Centre
2010020015,20102011,2010-10-09T23:00:00Z,R,2,New York Islanders,25,Dallas Stars,4,5,FALSE,Nassau Coliseum
2010020016,20102011,2010-10-09T23:00:00Z,R,5,Pittsburgh Penguins,8,Montréal Canadiens,2,3,FALSE,CONSOL Energy Center
2010020017,20102011,2010-10-09T23:00:00Z,R,15,Washington Capitals,1,New Jersey Devils,7,2,TRUE,Verizon Center
2010020018,20102011,2010-10-09T23:30:00Z,R,14,Tampa Bay Lightning,11,Atlanta Thrashers,5,3,TRUE,St. Pete Times Forum
2010020019,20102011,2010-10-10T00:00:00Z,R,19,St. Louis Blues,4,Philadelphia Flyers,2,1,TRUE,Scottrade Center
2010020020,20102011,2010-10-10T00:00:00Z,R,18,Nashville Predators,24,Anaheim Ducks,4,1,TRUE,Bridgestone Arena
2010020021,20102011,2010-10-10T00:30:00Z,R,16,Chicago Blackhawks,17,Detroit Red Wings,2,3,FALSE,United Center
2010020022,20102011,2010-10-09T19:00:00Z,R,28,San Jose Sharks,29,Columbus Blue Jackets,2,3,FALSE,Ericsson Globe
2010020023,20102011,2010-10-10T02:00:00Z,R,23,Vancouver Canucks,26,Los Angeles Kings,1,2,FALSE,Rogers Arena
2010020024,20102011,2010-10-10T14:00:00Z,R,27,Phoenix Coyotes,6,Boston Bruins,0,3,FALSE,O2 Czech Republic
2010020025,20102011,2010-10-11T00:00:00Z,R,20,Calgary Flames,26,Los Angeles Kings,3,1,TRUE,Scotiabank Saddledome
2010020026,20102011,2010-10-11T00:00:00Z,R,22,Edmonton Oilers,13,Florida Panthers,3,2,TRUE,Rexall Place
2010020027,20102011,2010-10-11T20:00:00Z,R,1,New Jersey Devils,5,Pittsburgh Penguins,1,3,FALSE,Prudential Center
2010020028,20102011,2010-10-11T17:00:00Z,R,2,New York Islanders,3,New York Rangers,6,4,TRUE,Nassau Coliseum
2010020029,20102011,2010-10-11T18:00:00Z,R,19,St. Louis Blues,24,Anaheim Ducks,5,1,TRUE,Scottrade Center
2010020030,20102011,2010-10-11T23:00:00Z,R,7,Buffalo Sabres,16,Chicago Blackhawks,3,4,FALSE,HSBC Arena
2010020031,20102011,2010-10-11T23:00:00Z,R,4,Philadelphia Flyers,21,Colorado Avalanche,4,2,TRUE,Wells Fargo Center
2010020032,20102011,2010-10-11T23:00:00Z,R,15,Washington Capitals,9,Ottawa Senators,3,2,TRUE,Verizon Center
2010020033,20102011,2010-10-12T02:00:00Z,R,23,Vancouver Canucks,13,Florida Panthers,2,1,TRUE,Rogers Arena
2010020034,20102011,2010-10-12T23:30:00Z,R,17,Detroit Red Wings,21,Colorado Avalanche,4,5,FALSE,Joe Louis Arena
2010020035,20102011,2010-10-13T02:30:00Z,R,26,Los Angeles Kings,11,Atlanta Thrashers,3,1,TRUE,Staples Center
2010020036,20102011,2010-10-13T23:00:00Z,R,7,Buffalo Sabres,1,New Jersey Devils,0,1,FALSE,HSBC Arena
