player,position,age,base_salary,signing_bonus,perf_bonus,total_salary,total_cap_hit,adjusted_cap_hit,cap_pct,team,season
Aaron Dell,G,29,"$1,950,000","$250,000",-,"$2,200,000","$1,900,000","$1,900,000",2.37,san-jose-sharks,2018/2019
Aaron Dell,G,30,"$1,600,000",-,-,"$1,600,000","$1,900,000","$1,900,000",2.62,san-jose-sharks,2019/2020
Aaron Ekblad,D,22,"$4,000,000",-,-,"$7,000,000","$7,500,000","$7,500,000",9.76,florida-panthers,2018/2019
Aaron Ekblad,D,23,"$5,000,000","$4,000,000",-,"$9,000,000","$7,500,000","$7,500,000",9.38,florida-panthers,2019/2020
Adam Boqvist,D,19,"$832,500","$92,500","$850,000","$705,712","$894,167","$658,559",0.95,chicago-blackhawks,2019/2020
Adam Erne,LW,23,"$800,000",-,-,"$800,000","$800,000","$800,000",1.02,tampa-bay-lightning,2018/2019
Adam Erne,LW,24,"$950,000","$100,000",-,"$1,050,000","$1,050,000","$1,050,000",1.54,detroit-red-wings,2019/2020
Adam Fox,D,21,"$832,500","$92,500","$850,000","$925,000","$925,000","$925,000",1.28,new-york-rangers,2019/2020
Adam Gaudette,C,21,"$832,500","$92,500","$850,000","$692,284","$916,666","$660,352",0.92,vancouver-canucks,2018/2019
Adam Gaudette,C,22,"$832,500","$92,500","$850,000","$907,132","$916,666","$896,896",1.05,vancouver-canucks,2019/2020
Adam Henrique,C,28,"$5,500,000",-,-,"$5,500,000","$4,000,000","$4,000,000",5.25,anaheim-ducks,2018/2019
Adam Henrique,C,29,"$5,825,000",-,-,"$5,825,000","$5,825,000","$5,825,000",7.26,anaheim-ducks,2019/2020
Adam Larsson,D,25,"$4,850,000",-,-,"$4,850,000","$4,166,666","$4,166,666",5.1,edmonton-oilers,2018/2019
Adam Larsson,D,26,"$5,050,000",-,-,"$5,050,000","$4,166,666","$4,166,666",5.17,edmonton-oilers,2019/2020
Adam Lowry,LW,25,"$3,500,000",-,-,"$3,500,000","$2,916,666","$2,916,666",3.86,winnipeg-jets,2018/2019
Adam Lowry,LW,26,"$2,750,000",-,-,"$2,750,000","$2,916,666","$2,916,666",3.61,winnipeg-jets,2019/2020
Adam McQuaid,D,31,"$2,000,000",-,-,"$440,873","$2,750,000","$606,185",0.79,columbus-blue-jackets,2018/2019
Adam Pelech,D,24,"$1,100,000",-,-,"$1,100,000","$1,600,000","$1,600,000",2.33,new-york-islanders,2018/2019
Adam Pelech,D,25,"$1,925,000",-,-,"$1,925,000","$1,600,000","$1,600,000",1.86,new-york-islanders,2019/2020
Adrian Kempe,LW,22,"$832,500",-,-,-,"$894,167","$894,167",1.16,los-angeles-kings,2018/2019
Adrian Kempe,LW,23,"$1,250,000",-,-,"$1,250,000","$2,000,000","$2,000,000",3.06,los-angeles-kings,2019/2020
Alan Quine,C,25,"$700,000",-,-,"$184,387","$700,000","$184,387",0.24,calgary-flames,2018/2019
Alec Martinez,D,31,"$4,050,000",-,-,"$4,050,000","$4,000,000","$4,000,000",5.2,los-angeles-kings,2018/2019
Alec Martinez,D,32,"$4,150,000",-,-,"$1,026,352","$4,000,000","$4,000,000",4.8,vegas-golden-knights,2019/2020
Aleksander Barkov,C,23,"$6,250,000",-,-,"$6,250,000","$5,900,000","$5,900,000",7.68,florida-panthers,2018/2019
Aleksander Barkov,C,24,"$6,900,000",-,-,"$6,900,000","$5,900,000","$5,900,000",7.38,florida-panthers,2019/2020
Aleksi Saarela,C,22,"$832,500",-,-,"$232,752","$753,333","$210,600",0.26,florida-panthers,2019/2020
Alex Biega,D,30,"$800,000","$150,000",-,"$855,364","$825,000","$727,340",1.01,vancouver-canucks,2018/2019
Alex Biega,D,31,"$700,000",-,-,"$673,577","$825,000","$793,865",1.17,detroit-red-wings,2019/2020
Alex Chiasson,RW,28,"$650,000",-,-,"$650,000","$650,000","$650,000",0.8,edmonton-oilers,2018/2019
Alex Chiasson,RW,28,"$2,150,000",-,-,"$2,150,000","$2,150,000","$2,150,000",2.67,edmonton-oilers,2019/2020
Alex Galchenyuk,C,24,"$4,900,000",-,-,"$4,900,000","$4,900,000","$4,900,000",6.68,arizona-coyotes,2018/2019
Alex Galchenyuk,C,25,"$4,900,000",-,-,"$1,448,920","$4,900,000","$4,900,000",6.27,minnesota-wild,2019/2020
Alex Goligoski,D,33,"$6,100,000",-,-,"$6,100,000","$5,475,000","$5,475,000",7.46,arizona-coyotes,2018/2019
Alex Goligoski,D,34,"$5,800,000",-,-,"$5,800,000","$5,475,000","$5,475,000",6.98,arizona-coyotes,2019/2020
Alex Iafallo,C,24,"$832,500","$92,500",-,"$832,500","$925,000","$925,000",1.2,los-angeles-kings,2018/2019
Alex Iafallo,C,25,"$2,400,000",-,-,"$2,400,000","$2,425,000","$2,425,000",3.71,los-angeles-kings,2019/2020
Alex Ovechkin,LW,33,"$10,000,000",-,-,"$10,000,000","$9,538,462","$9,538,462",11.74,washington-capitals,2018/2019
Alex Ovechkin,LW,34,"$10,000,000",-,-,"$10,000,000","$9,538,462","$9,538,462",11.73,washington-capitals,2019/2020
Alex Petrovic,D,26,"$1,950,000",-,-,"$1,027,419","$1,950,000","$1,027,419",1.26,edmonton-oilers,2018/2019
Alex Pietrangelo,D,28,"$7,000,000",-,-,"$7,000,000","$6,500,000","$6,500,000",8.12,st-louis-blues,2018/2019
Alex Pietrangelo,D,29,"$7,500,000",-,-,"$7,500,000","$6,500,000","$6,500,000",7.99,st-louis-blues,2019/2020
Alex Stalock,G,31,"$650,000",-,-,"$650,000","$650,000","$650,000",0.86,minnesota-wild,2018/2019
Alex Stalock,G,32,"$905,000",-,-,"$905,000","$785,000","$785,000",1.0,minnesota-wild,2019/2020
Alex True,C,22,"$700,000","$80,000","$20,000","$313,306","$763,333","$254,448",0.35,san-jose-sharks,2019/2020
Alex Tuch,RW,22,"$832,500","$92,500","$425,000","$925,000","$925,000","$925,000",1.17,vegas-golden-knights,2018/2019
Alex Tuch,RW,23,"$4,750,000",-,-,"$4,750,000","$4,750,000","$4,750,000",5.7,vegas-golden-knights,2019/2020
Alexander Debrincat,RW,20,"$700,000","$92,500","$132,500","$700,000","$778,333","$778,333",1.05,chicago-blackhawks,2018/2019
Alexander Debrincat,RW,21,"$800,000",-,"$32,500","$800,000","$778,333","$778,333",1.13,chicago-blackhawks,2019/2020
Alexander Edler,D,32,"$4,500,000",-,-,"$4,500,000","$5,000,000","$5,000,000",6.95,vancouver-canucks,2018/2019
Alexander Edler,D,33,"$1,000,000","$6,000,000",-,"$7,000,000","$6,000,000","$6,000,000",7.06,vancouver-canucks,2019/2020
Alexander Georgiev,G,22,"$700,000","$92,500","$132,500","$698,343","$792,500","$686,021",0.92,new-york-rangers,2018/2019
Alexander Georgiev,G,23,"$700,000","$92,500","$132,500","$792,500","$792,500","$792,500",1.1,new-york-rangers,2019/2020
Alexander Kerfoot,C,24,"$832,500","$92,500","$212,500","$925,000","$925,000","$925,000",1.31,colorado-avalanche,2018/2019
Alexander Kerfoot,C,25,"$700,000","$4,300,000",-,"$5,000,000","$3,500,000","$3,500,000",4.26,toronto-maple-leafs,2019/2020
Alexander Killorn,C,29,"$4,450,000",-,-,"$4,450,000","$4,450,000","$4,450,000",5.69,tampa-bay-lightning,2018/2019
Alexander Killorn,C,30,"$4,450,000",-,-,"$4,450,000","$4,450,000","$4,450,000",5.43,tampa-bay-lightning,2019/2020
Alexander Nylander,RW,21,"$832,500","$850,000",-,"$832,500","$863,333","$863,333",1.25,chicago-blackhawks,2019/2020
Alexander Radulov,RW,32,"$5,000,000","$3,000,000",-,"$8,000,000","$6,250,000","$6,250,000",8.45,dallas-stars,2018/2019
Alexander Radulov,RW,33,"$3,600,000","$3,000,000",-,"$6,600,000","$6,250,000","$6,250,000",8.18,dallas-stars,2019/2020
Alexander Steen,LW,34,"$7,000,000",-,-,"$7,000,000","$5,750,000","$5,750,000",7.18,st-louis-blues,2018/2019
Alexander Steen,LW,35,"$5,500,000",-,-,"$5,500,000","$5,750,000","$5,750,000",7.07,st-louis-blues,2019/2020
Alexander Wennberg,C,24,"$4,500,000",-,-,"$4,500,000","$4,900,000","$4,900,000",6.38,columbus-blue-jackets,2018/2019
Alexander Wennberg,C,25,"$5,350,000",-,-,"$5,350,000","$4,900,000","$4,900,000",6.31,columbus-blue-jackets,2019/2020
Alexandre Texier,C,19,"$750,000","$92,500","$82,500","$100,564","$897,500","$9,650",0.01,columbus-blue-jackets,2018/2019
Alexandre Texier,C,20,"$832,500","$92,500",-,"$925,000","$897,500","$897,500",1.16,columbus-blue-jackets,2019/2020
Anders Bjork,LW,23,"$832,500","$92,500","$212,500","$734,064","$925,000","$815,572",1.06,boston-bruins,2019/2020
Anders Lee,C,28,"$5,000,000",-,-,"$5,000,000","$3,750,000","$3,750,000",5.46,new-york-islanders,2018/2019
Anders Lee,C,29,"$6,000,000","$3,000,000",-,"$9,000,000","$7,000,000","$7,000,000",8.14,new-york-islanders,2019/2020
Anders Nilsson,G,28,"$2,000,000",-,-,"$1,021,535","$2,500,000","$1,276,895",1.84,ottawa-senators,2018/2019
Andre Burakovsky,LW,23,"$3,250,000",-,-,"$3,250,000","$3,000,000","$3,000,000",3.69,washington-capitals,2018/2019
Andre Burakovsky,LW,24,"$3,250,000",-,-,"$3,250,000","$3,250,000","$3,250,000",4.11,colorado-avalanche,2019/2020
Andreas Athanasiou,C,24,"$2,750,000","$250,000",-,"$3,000,000","$3,000,000","$3,000,000",4.33,detroit-red-wings,2018/2019
Andreas Athanasiou,C,25,"$3,000,000",-,-,"$3,000,000","$3,000,000","$3,000,000",3.72,edmonton-oilers,2019/2020
Andreas Englund,D,23,"$700,000",-,-,"$316,092","$700,000","$316,092",0.45,ottawa-senators,2019/2020
Andreas Johnsson,LW,23,"$787,500",-,-,"$787,500","$787,500","$787,500",1.04,toronto-maple-leafs,2018/2019
Andrei Svechnikov,RW,18,"$832,500","$92,500","$2,650,000","$1,110,000","$925,000","$925,000",1.47,carolina-hurricanes,2018/2019
Andrei Svechnikov,RW,19,"$832,500","$92,500","$2,650,000","$832,500","$925,000","$925,000",1.03,carolina-hurricanes,2019/2020
Andrei Vasilevski,G,24,"$3,500,000",-,-,"$3,500,000","$3,500,000","$3,500,000",4.47,tampa-bay-lightning,2018/2019
Andrei Vasilevski,G,25,"$4,000,000",-,-,"$4,000,000","$3,500,000","$3,500,000",4.27,tampa-bay-lightning,2019/2020
Andrej Sekera,D,32,"$5,500,000",-,-,"$5,500,000","$5,500,000","$5,500,000",6.73,edmonton-oilers,2018/2019
Andrej Sekera,D,33,"$1,500,000",-,"$500,000","$1,500,000","$1,500,000","$1,500,000",1.96,dallas-stars,2019/2020
Andrew Agozzino,LW,26,"$700,000",-,-,"$154,283","$700,000","$154,283",0.19,anaheim-ducks,2019/2020
Andrew Cogliano,LW,31,"$3,250,000",-,-,"$1,450,259","$3,250,000","$1,450,259",1.96,dallas-stars,2018/2019
Andrew Cogliano,LW,32,"$3,250,000",-,-,"$3,250,000","$3,250,000","$3,250,000",4.26,dallas-stars,2019/2020
Andrew Copp,C,24,"$1,100,000",-,-,"$1,100,000","$1,000,000","$1,000,000",1.32,winnipeg-jets,2018/2019
Andrew Copp,C,25,"$2,260,000",-,-,"$2,260,000","$2,280,000","$2,280,000",2.82,winnipeg-jets,2019/2020
Andrew Ladd,LW,32,"$1,000,000","$5,000,000",-,"$6,000,000","$5,500,000","$5,500,000",8.01,new-york-islanders,2018/2019
Andrew Ladd,LW,33,"$1,000,000","$4,000,000",-,"$5,000,000","$5,500,000","$5,500,000",6.4,new-york-islanders,2019/2020
Andrew MacDonald,D,32,"$5,500,000",-,-,"$5,500,000","$5,000,000","$5,000,000",7.07,philadelphia-flyers,2018/2019
Andrew Mangiapane,LW,22,"$650,000","$80,000",-,"$523,965","$705,000","$405,530",0.52,calgary-flames,2018/2019
Andrew Mangiapane,LW,23,"$715,000",-,-,"$715,000","$715,000","$715,000",0.93,calgary-flames,2019/2020
Andrew Peeke,D,20,"$807,500","$92,500","$25,000","$118,546","$916,666","$29,568",0.04,columbus-blue-jackets,2018/2019
Andrew Peeke,D,21,"$832,500","$92,500","$850,000","$566,956","$916,666","$522,368",0.67,columbus-blue-jackets,2019/2020
Andrew Shaw,C,27,"$4,000,000",-,-,"$4,000,000","$3,900,000","$3,900,000",5.39,montreal-canadiens,2018/2019
Andy Greene,D,35,"$5,000,000",-,-,"$5,000,000","$5,000,000","$5,000,000",7.98,new-jersey-devils,2018/2019
Andy Greene,D,36,"$5,000,000",-,-,"$1,317,218","$5,000,000","$5,000,000",5.82,new-york-islanders,2019/2020
Anthony Angello,C,23,"$832,500","$92,500",-,"$356,584","$833,750","$264,497",0.31,pittsburgh-penguins,2019/2020
Anthony Beauvillier,LW,21,"$832,500",-,"$212,500",-,"$894,167","$894,167",1.3,new-york-islanders,2018/2019
Anthony Beauvillier,LW,22,"$1,800,000",-,-,"$1,800,000","$2,100,000","$2,100,000",2.44,new-york-islanders,2019/2020
Anthony Bitetto,D,28,"$650,000",-,-,"$244,650","$650,000","$244,650",0.32,minnesota-wild,2018/2019
Anthony Bitetto,D,29,"$700,000",-,-,"$700,000","$700,000","$700,000",0.87,winnipeg-jets,2019/2020
Anthony Cirelli,C,21,"$650,000","$92,500","$182,500","$742,500","$728,333","$728,333",0.93,tampa-bay-lightning,2018/2019
Anthony Cirelli,C,22,"$650,000",-,-,"$650,000","$728,333","$728,333",0.89,tampa-bay-lightning,2019/2020
Anthony DeAngelo,D,22,"$832,500",-,"$400,000",-,"$863,333","$863,333",1.16,new-york-rangers,2018/2019
Anthony DeAngelo,D,23,"$925,000",-,-,"$925,000","$925,000","$925,000",1.28,new-york-rangers,2019/2020
Anthony Duclair,LW,23,"$650,000",-,-,"$150,285","$650,000","$150,285",0.22,ottawa-senators,2018/2019
Anthony Duclair,LW,24,"$1,650,000",-,-,"$1,650,000","$1,650,000","$1,650,000",2.34,ottawa-senators,2019/2020
Anthony Mantha,RW,24,"$3,300,000",-,-,"$3,300,000","$3,300,000","$3,300,000",4.77,detroit-red-wings,2018/2019
Anthony Mantha,RW,25,"$3,300,000",-,-,"$3,300,000","$3,300,000","$3,300,000",4.85,detroit-red-wings,2019/2020
Anthony Stolarz,G,24,"$761,250",-,-,"$441,996","$761,250","$442,044",0.54,edmonton-oilers,2018/2019
Antoine Roussel,LW,28,"$1,800,000","$2,000,000",-,"$3,800,000","$3,000,000","$3,000,000",4.17,vancouver-canucks,2018/2019
